origin,destination,train_type,train_class,fare,start_date_hour,start_date_minute,end_date_hour,end_date_minute,date_day,price
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,8,45,9,50,1,31.1
MADRID,ZARAGOZA,AVE,Turista,Promo,11,30,12,51,4,44.0
MADRID,ZARAGOZA,AVE,Turista,Flexible,8,20,9,35,2,55.7
MADRID,TARRAGONA,AVE,Turista,Flexible,7,30,10,3,2,82.6
VALLADOLID,MADRID,AVANT,Turista,Adulto ida,20,35,21,40,4,31.1
MADRID,ZARAGOZA,AVE,Turista,Flexible,9,30,10,45,7,55.7
MADRID,TARRAGONA,AVE-TGV,Turista,Flexible,13,25,15,45,4,82.6
MADRID,BARCELONA,AVE,Turista,Promo +,6,30,9,20,4,91.5
MADRID,VALLADOLID,AVANT,Turista,Adulto ida,6,40,7,45,4,31.1
MADRID,TARRAGONA,AVE,Turista,Flexible,19,30,22,4,5,82.6
ZARAGOZA,MADRID,AVE,Preferente,Promo,8,6,9,25,1,42.4
BARCELONA,MADRID,AVE-TGV,Turista,Promo +,12,46,15,41,5,91.5
MADRID,BARCELONA,AVE,Turista,Promo +,20,45,23,55,5,81.7
MADRID,ZARAGOZA,AVE,Turista,Promo +,20,45,22,6,5,46.8
MADRID,BARCELONA,AVE,Turista,Promo +,14,30,17,21,5,81.7
ZARAGOZA,MADRID,AVE,Turista,Flexible,14,51,16,10,4,55.7
MADRID,TARRAGONA,AVE,Preferente,Promo +,19,30,22,4,6,80.55
ZARAGOZA,MADRID,AVE,Turista,Flexible,8,31,9,50,1,55.7
ZARAGOZA,MADRID,AVE-TGV,Turista,Flexible,14,21,15,41,6,55.7
MADRID,VALLADOLID,MD,Turista,Adulto ida,12,26,15,16,7,24.95
MADRID,BARCELONA,AVE,Turista,Promo +,6,30,9,20,3,91.5
VALLADOLID,MADRID,MD,Turista,Adulto ida,6,33,9,41,1,24.95
ZARAGOZA,MADRID,AVE,Turista,Flexible,11,43,13,10,2,55.7
