id,days
314114,2
208989,2
305872,2
266099,2
13228,2
181868,2
306919,1
281736,2
102076,2
294069,2
216652,2
7359,2
291915,2
244224,2
258238,2
239066,1
235980,2
112350,2
113056,2
163673,1
127096,2
72389,2
120380,2
2512,2
123251,2
239621,2
145362,2
152864,2
276592,2
259725,2
282141,2
205897,2
60270,2
9349,2
10358,2
142083,2
4246,1
62097,1
83651,2
301531,2
189935,2
1105,2
122417,2
209276,2
186364,2
81532,2
6101,2
111411,2
132807,2
32974,2
66247,2
45875,2
80368,2
254220,1
317355,2
3992,2
121996,2
7622,2
66678,2
257711,2
191447,2
186922,2
178954,2
129618,2
210622,2
176525,2
215357,2
39978,2
172250,1
245661,2
284876,2
44578,2
278246,1
257590,2
67448,2
204983,2
107552,2
64638,2
184208,2
272642,2
270450,2
282712,2
42111,5
228370,2
315668,2
156630,2
311254,2
260074,2
113891,1
50680,2
62672,2
4602,2
3840,2
96482,2
269215,1
230162,2
202859,2
29054,2
101173,2
61745,2
74601,2
59042,2
93244,2
16311,2
259915,2
22165,2
122228,2
2169,1
246790,2
222938,2
201994,2
129279,2
165577,1
199510,1
233062,2
118986,2
170099,2
68003,1
95317,2
82625,2
97815,1
32470,2
25167,2
31160,2
200100,2
133882,1
306905,2
159751,2
312603,2
241843,1
121636,2
70226,2
284445,2
317198,2
189096,2
55212,1
241931,2
211173,2
306608,2
97301,2
124765,2
181200,2
283210,2
37340,2
114657,1
129359,2
217724,2
307327,2
10993,2
26338,1
245314,2
132687,2
3560,2
317545,2
316404,1
53853,2
1646,1
291525,1
106946,2
249823,2
279542,2
27789,2
300904,2
87083,2
101708,2
284058,2
73714,2
133821,2
13514,2
251247,2
89266,2
121148,2
82736,2
92396,2
235041,2
248348,2
24967,2
51565,2
210268,2
4783,2
201175,2
197597,2
73247,2
7031,2
28503,2
37525,2
140809,2
171518,2
219740,2
238250,2
229041,2
314908,2
165263,2
285874,2
292512,2
111146,2
193264,2
59471,2
188041,2
287482,2
314111,2
231828,1
315719,1
178509,2
286596,2
79762,2
16950,2
186640,2
234411,2
284067,2
310298,2
36063,2
64847,2
69811,2
214271,2
143692,2
154592,2
173565,2
74233,1
219996,2
138559,2
289439,2
217230,2
214491,1
76104,2
71861,2
234144,2
134025,2
111296,2
262935,2
12715,2
44142,1
277832,1
192751,2
132099,2
229029,2
155806,2
263612,1
155368,2
451,2
33863,2
105576,2
230021,2
262074,2
142406,2
102910,2
45615,2
144743,1
49749,2
81100,2
2879,2
134210,2
124320,2
196315,2
87173,2
47179,2
165480,2
259778,2
256858,1
289574,2
289806,2
91767,2
9299,2
252028,2
103357,2
318045,1
114975,2
180182,2
86922,2
190965,1
245123,1
74491,1
160111,1
230364,2
68694,1
218471,2
165494,2
82628,2
256723,2
235121,2
73694,2
108322,2
57222,1
1971,2
251658,2
277538,2
274922,2
268743,2
253003,2
317227,2
267584,2
211336,2
241902,2
13331,2
77315,2
130849,2
189411,2
217430,2
242362,2
232430,2
318309,2
52998,2
