id,days
314114,5
208989,0
305872,3
266099,8
13228,0
181868,3
306919,5
281736,1
102076,3
294069,3
216652,3
7359,1
291915,1
244224,1
258238,3
239066,8
235980,1
112350,1
113056,3
163673,1
127096,5
72389,2
120380,2
2512,5
123251,5
239621,5
145362,3
152864,1
276592,3
259725,5
282141,5
205897,1
60270,1
9349,1
10358,7
142083,1
4246,5
62097,2
83651,3
301531,3
189935,2
1105,0
122417,1
209276,3
186364,3
81532,2
6101,1
111411,10
132807,3
32974,1
66247,1
45875,2
80368,2
254220,1
317355,1
3992,3
121996,3
7622,2
66678,1
257711,3
191447,1
186922,0
178954,5
129618,3
210622,2
176525,3
215357,3
39978,5
172250,1
245661,5
284876,2
44578,1
278246,3
257590,3
67448,0
204983,1
107552,1
64638,3
184208,2
272642,5
270450,1
282712,1
42111,2
228370,3
315668,2
156630,1
311254,1
260074,0
113891,5
50680,2
62672,1
4602,2
3840,1
96482,1
269215,1
230162,2
202859,2
29054,1
101173,1
61745,1
74601,2
59042,2
93244,5
16311,2
259915,3
22165,1
122228,2
2169,5
246790,3
222938,3
201994,1
129279,3
165577,1
199510,3
233062,3
118986,0
170099,3
68003,5
95317,1
82625,1
97815,3
32470,3
25167,2
31160,0
200100,2
133882,1
306905,5
159751,1
312603,3
241843,2
121636,2
70226,2
284445,3
317198,1
189096,3
55212,2
241931,5
211173,3
306608,3
97301,2
124765,1
181200,1
283210,2
37340,1
114657,3
129359,2
217724,1
307327,1
10993,2
26338,3
245314,1
132687,5
3560,1
317545,2
316404,3
53853,3
1646,2
291525,2
106946,1
249823,1
279542,1
27789,2
300904,1
87083,1
101708,2
284058,1
73714,3
133821,2
13514,2
251247,2
89266,3
121148,3
82736,5
92396,5
235041,2
248348,7
24967,3
51565,2
210268,1
4783,2
201175,2
197597,1
73247,3
7031,1
28503,1
37525,3
140809,5
171518,1
219740,3
238250,3
229041,3
314908,2
165263,2
285874,2
292512,1
111146,5
193264,5
59471,5
188041,5
287482,0
314111,3
231828,5
315719,3
178509,5
286596,1
79762,0
16950,2
186640,3
234411,3
284067,1
310298,5
36063,0
64847,1
69811,3
214271,1
143692,2
154592,1
173565,1
74233,5
219996,1
138559,3
289439,5
217230,1
214491,2
76104,2
71861,0
234144,2
134025,8
111296,1
262935,3
12715,1
44142,1
277832,1
192751,1
132099,10
229029,1
155806,1
263612,2
155368,1
451,1
33863,3
105576,1
230021,1
262074,0
142406,3
102910,1
45615,1
144743,2
49749,1
81100,1
2879,10
134210,2
124320,3
196315,3
87173,5
47179,2
165480,1
259778,0
256858,1
289574,1
289806,1
91767,2
9299,1
252028,3
103357,2
318045,2
114975,1
180182,4
86922,2
190965,1
245123,3
74491,5
160111,1
230364,3
68694,1
218471,1
165494,5
82628,2
256723,1
235121,1
73694,3
108322,7
57222,2
1971,2
251658,1
277538,10
274922,3
268743,1
253003,2
317227,1
267584,5
211336,3
241902,3
13331,2
77315,0
130849,1
189411,3
217430,3
242362,3
232430,1
318309,5
52998,1
244660,2
109419,2
120421,1
128215,3
13264,1
215263,2
201815,0
87868,1
74623,1
78198,3
182949,1
125251,3
79330,2
22103,5
245027,0
163258,1
55753,1
186892,1
234530,2
248957,5
8148,1
277964,1
42619,5
242529,3
221048,2
259427,2
313925,2
105524,1
198248,2
199769,1
86351,0
84630,3
101441,0
152945,1
248664,2
97343,1
3103,5
5810,0
30536,3
85670,2
113539,3
288189,2
211536,5
67789,1
265005,2
95966,3
242410,3
313223,2
7320,1
129693,2
181623,2
312204,0
78731,2
242409,5
270969,2
229185,3
310177,7
108408,1
271853,1
52408,2
176113,3
226294,1
93771,1
211714,2
155295,1
224887,3
98327,5
225816,5
180763,2
169989,0
145163,3
267091,7
178648,2
122545,3
191802,0
168297,3
13186,0
173799,5
294911,2
234907,1
49838,0
28927,1
308588,0
63886,4
108016,1
7492,3
171206,1
110503,2
144138,3
313784,1
1524,1
17359,2
59003,3
230867,1
108325,2
129538,2
241903,1
309743,5
198014,2
317493,1
61145,1
184043,1
52116,1
235253,1
237283,7
106306,1
154739,2
129912,5
47927,1
197875,5
293875,5
243549,1
309390,2
198181,1
21269,2
96695,1
61278,3
15036,0
273467,1
317497,3
156160,5
205287,2
213242,1
75073,3
159804,3
223423,3
267750,5
4087,2
264652,3
254895,2
211205,3
35988,0
210522,2
298603,3
207192,1
185764,2
205231,1
226305,2
55870,2
137636,2
126763,1
237613,10
230653,3
50525,1
202962,1
130822,2
130267,2
8017,5
202219,2
123286,1
172954,1
86720,2
126469,3
216543,0
38243,2
181864,1
222527,0
109036,2
58124,7
301916,3
191272,2
275864,1
133639,0
301437,1
45779,1
172090,1
27193,5
63978,1
113126,0
18299,1
194221,1
312678,1
83732,1
237945,2
91251,2
163180,2
291766,3
33061,3
31173,1
43203,5
253196,2
277748,9
80401,1
182690,3
264636,1
259221,0
7845,1
244823,5
22193,2
175940,2
206436,2
2842,1
98913,2
247979,2
65388,3
36043,5
82208,1
177672,1
96881,5
23607,1
137208,3
270535,2
108737,2
311671,2
281762,1
105038,1
85578,1
235730,1
47522,1
259691,1
189330,1
67744,1
32443,0
12300,3
218387,1
304493,1
315047,7
262418,10
98529,1
64294,3
267526,1
261311,2
120842,1
284872,1
52799,1
300357,3
278737,1
258341,2
190225,3
171150,1
40949,3
122268,1
32845,5
252983,3
68828,7
298036,3
5375,1
302715,1
146351,1
154807,3
19873,2
223289,2
157009,1
38192,2
224690,3
110576,5
156350,1
182895,2
249316,1
134917,2
134899,10
287156,3
115330,2
1705,9
199490,2
235500,1
316731,2
31091,2
105865,5
172470,3
215046,3
171801,1
267881,1
292356,1
46240,1
238508,1
264401,2
84481,1
299628,1
190179,3
3885,1
40471,1
241705,3
177839,1
281252,3
73085,3
72630,3
88525,1
260816,2
22231,5
22698,1
98659,2
97820,2
309034,5
7072,3
260669,3
316642,1
232545,1
257048,5
140642,1
242428,3
163417,1
210994,5
208343,8
61489,2
14356,1
118855,1
67945,1
273045,5
126017,3
251704,3
178784,2
221909,1
47039,3
23904,3
218382,2
80442,2
280076,5
74511,2
26711,2
56386,2
286244,2
253316,3
166078,1
69315,1
293718,5
18256,5
298504,5
116832,2
254886,1
37604,1
314438,2
160814,2
26198,2
73217,1
204415,1
255894,2
286933,5
206340,1
73426,3
262323,1
72080,1
206974,1
162740,2
36062,1
183119,3
154721,3
115497,3
232739,2
205838,1
312565,0
88872,3
30560,1
